;;;;;;;;
mason triangle — build a stable wall;c;activity;robot;wall;;60;50;
;;;;;;;;
gap in course detected;a;stat;mason001;wall001;stat empty;30;40;
;c;mode;mason001;wall001;place_brick;35;45;
;;;;;;;;
brick surface unaligned;a;stat;mason001;wall001;stat rough;45;55;
;c;mode;mason001;wall001;tap_level;45;55;
;;;;;;;;
mortar too dry;a;stat;mason001;wall001;stat dry;40;50;
;c;mode;mason001;wall001;wet_mortar;30;40;
;;;;;;;;
wall leaning sideways;a;stat;mason001;wall001;force;50;60;
;c;mode;mason001;wall001;align_course;55;65;
;;;;;;;;
course complete and level;a;stat;mason001;wall001;pattern;35;45;
;c;mode;mason001;wall001;start_next_course;50;60;
;;;;;;;;
wall finished, solid and sheltering;c;activity;robot;wall;goal support+shield;80;90;
;;;;;;;;
action effects;;;;;;;;
;;;;;;;;
place brick fills the gap;c;effect;place_brick;mason001;stat full;0;0;
tap level restores the pattern;c;effect;tap_level;mason001;pattern;0;0;
wet mortar makes it workable;c;effect;wet_mortar;mason001;stat liquid;0;0;
apply mortar creates bond;c;effect;apply_mortar;mason001;bond;0;0;
align course restores support;c;effect;align_course;mason001;support;0;0;
;;;;;;;;
grounding rules;;;;;;;;
;;;;;;;;
gap in course;i;lt;course_fill_ratio;0-1;stat empty;1.0;1.0;
brick misaligned;i;gt;brick_offset_mm;mm;stat rough;2;5;
mortar drying out;i;lt;mortar_moisture_%;%;stat dry;40;15;
wall tilting;i;gt;wall_tilt_deg;deg;force;0.5;2.0;
course complete;i;gt;course_fill_ratio;0-1;pattern;0.5;0.99;
wall at target height;i;gt;wall_height_ratio;0-1;stat full;0.5;0.95;
wall high enough to shelter;i;gt;wall_height_ratio;0-1;shield;0.5;0.9;
;;;;;;;;
