;;;;;;;;
natural anchor triangle — use load-bearing natural structures;c;activity;robot;tree;;60;50;
;;;;;;;;
natural surface detected;a;stat;robot001;tree001;nature;30;40;
;c;mode;robot001;tree001;scan_surface;35;45;
;;;;;;;;
load-bearing point identified;a;stat;robot001;tree001;support;40;50;
;c;mode;robot001;tree001;test_grip_point;45;55;
;;;;;;;;
mechanical engagement possible;a;stat;robot001;tree001;machine;50;60;
;c;mode;robot001;tree001;position_gripper;55;65;
;;;;;;;;
structure usable as leverage;a;stat;robot001;tree001;tool;45;55;
;c;mode;robot001;tree001;engage_anchor;50;60;
;;;;;;;;
anchor established, robot secured;c;activity;robot;tree;goal bond+support;80;90;
;;;;;;;;
energy triangle — keep robot powered;c;activity;robot;battery;;60;50;
;;;;;;;;
battery getting low;a;stat;robot001;battery001;stat low;25;30;
;c;mode;robot001;battery001;recharge_mode;35;45;
;;;;;;;;
battery empty emergency;a;stat;robot001;battery001;stat empty;5;10;
;c;mode;robot001;battery001;safe_wait;10;20;
;;;;;;;;
battery hot condition;a;stat;robot001;battery001;stat hot;80;70;
;c;mode;robot001;battery001;cool_down;30;40;
;;;;;;;;
battery full enough;c;activity;robot;battery;goal energy+stat full;80;90;
;;;;;;;;
social atmosphere triangle — stabilize a room;c;activity;director;room;;60;50;
;;;;;;;;
voices rising;a;stat;room001;director001;stat hot;70;80;
;c;mode;director001;room001;slow_down;65;75;
;;;;;;;;
room withdrawn;a;stat;room001;director001;stat cold;30;40;
;c;mode;director001;room001;invite_speaker;35;45;
;;;;;;;;
conversation rough;a;stat;room001;director001;stat rough;60;70;
;c;mode;director001;room001;set_ground_rules;55;65;
;;;;;;;;
trust broken;a;stat;room001;director001;stat broken;10;20;
;c;mode;director001;room001;acknowledge_harm;15;25;
;;;;;;;;
room feels safe;c;activity;director;room;goal stat soft+bond;80;90;
;;;;;;;;
spotty disease triangle — detect and treat fungal leaf spots;c;activity;plant;leaf;;60;50;
;;;;;;;;
spots visible on leaf surface;a;stat;plant001;leaf001;pattern;35;45;
;c;mode;plant001;leaf001;identify_spots;40;50;
;;;;;;;;
spot area spreading;a;stat;plant001;leaf001;stat size;30;40;
;c;mode;plant001;leaf001;measure_spread;35;45;
;;;;;;;;
leaf discoloration under imaging;a;stat;plant001;leaf001;radiation;25;35;
;c;mode;plant001;leaf001;scan_leaf;30;40;
;;;;;;;;
fungal contagion confirmed;a;stat;plant001;leaf001;problem;60;70;
;c;mode;plant001;leaf001;alert_boss;65;75;
;;;;;;;;
fungal contagion confirmed, treat the plant;a;stat;plant001;leaf001;problem;60;70;
;c;mode;plant001;leaf001;give_medicine;55;65;
;;;;;;;;
leaf clear of spots, plant treated;c;activity;plant;leaf;goal fix+plant+stat clear;80;90;
;;;;;;;;
hearing triangle — listen for sound events;c;activity;humanoid;sound;;60;50;
